
3.0, 4, 7.0, 8,236.50, 688.10, 1373.00, 1372.10, 373.30, 2189.90, 779.60, 1372.10
7.0, 3, 5.0, 9,380.60, 2036.40, 4088.40, 4083.30, 325.70, 246.50, 480.10, 4083.30
1.0, 2, 8.0, 4,68.90, 179.40, 344.40, 739.50, 305.50, 359.10, 726.10, 739.50
5.0, 9, 5.0, 7,344.20, 435.60, 871.30, 1334.10, 345.10, 667.30, 1334.40, 1334.10
5.0, 5, 2.0, 8,308.40, 2492.20, 1531.20, 1507.50, 171.20, 51082.50, 159.50, 1507.50
6.0, 8, 9.0, 6,369.90, 487.50, 982.70, 1806.00, 414.40, 904.40, 1806.00, 1806.00
3.0, 2, 7.0, 4,186.00, 865.60, 1724.60, 1723.10, 303.30, 357.90, 713.90, 1723.10
3.0, 8, 7.0, 2,269.20, 30380.10, 270.70, 5614.10, 306.40, 3802.80, 5614.70, 5614.10
7.0, 9, 6.0, 2,375.10, 1961.30, 533.00, 7244.90, 352.60, 3626.30, 7245.20, 7244.90
8.0, 3, 8.0, 3,317.70, 703.90, 1397.70, 1434.90, 317.30, 697.10, 1389.50, 1434.90
5.0, 5, 4.0, 7,324.60, 3586.20, 1446.40, 1445.60, 285.50, 1743.30, 642.10, 1445.60
9.0, 4, 5.0, 5,378.60, 880.60, 1762.20, 1761.60, 306.90, 446.00, 888.80, 1761.60
3.0, 7, 8.0, 5,247.20, 243.20, 490.80, 1752.00, 372.50, 1413.20, 1722.80, 1752.00
4.0, 7, 9.0, 5,286.70, 324.90, 648.90, 1892.20, 399.60, 947.40, 1892.70, 1892.20
3.0, 7, 6.0, 5,242.90, 14954.00, 473.20, 1567.20, 342.80, 775.90, 1556.80, 1567.20
6.0, 7, 4.0, 7,365.60, 602.40, 1201.50, 1215.10, 296.10, 439.70, 875.30, 1215.10
5.0, 5, 3.0, 4,302.00, 1018.10, 850.90, 898.20, 216.20, 1193.40, 809.60, 898.20
8.0, 4, 3.0, 2,313.70, 378.70, 750.50, 1706.50, 184.70, 860.70, 1707.70, 1706.50
7.0, 9, 2.0, 9,393.90, 2030.80, 1273.20, 1302.10, 176.50, 16488.00, 304.20, 1302.10
3.0, 2, 6.0, 4,186.70, 869.70, 1739.00, 1737.40, 282.40, 314.70, 625.50, 1737.40
3.0, 3, 7.0, 9,227.10, 1115.90, 2223.80, 2222.80, 382.80, 919.20, 653.40, 2222.80
7.0, 5, 4.0, 4,351.30, 541.10, 1081.80, 1160.60, 268.80, 558.70, 1117.70, 1160.60
5.0, 4, 2.0, 8,293.80, 7262.10, 1878.50, 1835.00, 172.30, 52584.60, 149.60, 1835.00
7.0, 9, 9.0, 7,398.60, 544.80, 1091.90, 1741.60, 422.10, 872.00, 1746.60, 1741.60
5.0, 5, 5.0, 4,303.80, 2166.20, 868.20, 1316.50, 304.10, 1336.70, 1327.20, 1316.50
4.0, 3, 9.0, 4,246.20, 607.50, 1217.10, 1236.00, 345.70, 555.90, 1107.80, 1236.00
3.0, 6, 5.0, 6,229.20, 3876.00, 600.00, 1071.40, 326.00, 4275.80, 1062.30, 1071.40
6.0, 8, 5.0, 7,373.70, 551.40, 1100.00, 1222.70, 343.60, 9043.70, 1212.80, 1222.70
8.0, 5, 8.0, 3,356.90, 465.80, 925.10, 2352.20, 357.40, 1182.30, 2352.70, 2352.20
7.0, 4, 9.0, 6,368.40, 978.90, 1957.20, 1957.20, 390.00, 526.60, 1054.90, 1957.20
7.0, 3, 7.0, 5,343.40, 1127.50, 2247.60, 2247.00, 345.00, 444.20, 884.10, 2247.00
8.0, 2, 5.0, 4,317.00, 1666.00, 3315.50, 3315.30, 262.60, 279.00, 552.40, 3315.30
9.0, 8, 4.0, 3,385.80, 2086.70, 710.90, 2683.50, 290.00, 1349.60, 2689.00, 2683.50
8.0, 6, 8.0, 2,357.30, 325.40, 646.40, 5236.60, 357.30, 2622.20, 5236.70, 5236.60
9.0, 5, 8.0, 2,347.50, 362.90, 717.80, 4235.40, 340.20, 2123.10, 4235.80, 4235.40
8.0, 4, 8.0, 7,389.70, 1177.00, 2353.80, 2353.30, 389.90, 470.60, 940.10, 2353.30
5.0, 7, 8.0, 9,348.00, 678.50, 1350.70, 1353.20, 414.60, 580.70, 1155.80, 1353.20
9.0, 3, 1.0, 4,180.00, 29632.80, 882.30, 779.20, 79.50, 374029.19, 118.80, 779.20
1.0, 5, 6.0, 9,87.40, 52091.20, 176.50, 701.00, 344.70, 7780.00, 728.90, 701.00
1.0, 8, 7.0, 8,155.00, 717843.38, 418.90, 766.50, 240.10, 128187.90, 753.10, 766.50
8.0, 4, 4.0, 5,366.40, 853.10, 1697.20, 1696.80, 267.30, 352.00, 706.60, 1696.80
4.0, 6, 2.0, 7,274.10, 9941.80, 919.90, 941.30, 170.80, 14460.70, 254.80, 941.30
4.0, 7, 7.0, 5,290.70, 1065.30, 663.30, 1738.50, 374.90, 868.20, 1739.20, 1738.50
7.0, 7, 8.0, 6,389.60, 600.30, 1196.60, 1584.20, 403.10, 797.00, 1584.20, 1584.20
3.0, 3, 7.0, 2,181.40, 3063.00, 410.20, 2044.20, 256.20, 1023.50, 2044.30, 2044.20
7.0, 5, 3.0, 4,354.50, 552.80, 1095.80, 1115.20, 216.40, 406.60, 800.40, 1115.20
9.0, 5, 6.0, 8,409.20, 1082.30, 2169.20, 2158.70, 364.10, 426.50, 855.90, 2158.70
3.0, 8, 4.0, 5,240.40, 9233.70, 396.80, 1297.80, 275.60, 644.90, 1299.10, 1297.80
5.0, 9, 4.0, 3,325.30, 9383.40, 474.10, 2930.20, 284.40, 1472.20, 2930.70, 2930.20
9.0, 2, 6.0, 8,389.80, 3640.40, 7259.80, 7259.70, 345.40, 242.90, 485.20, 7259.70
9.0, 2, 2.0, 7,313.40, 2620.20, 5222.80, 5117.90, 156.90, 194.70, 115.00, 5117.90
9.0, 2, 4.0, 8,389.10, 3626.70, 7240.40, 7240.30, 273.60, 143.00, 286.90, 7240.30
4.0, 7, 2.0, 2,261.40, 17315.60, 284.90, 2137.10, 147.40, 10315.20, 2156.60, 2137.10
9.0, 8, 9.0, 6,414.60, 584.20, 1165.90, 1842.80, 418.00, 924.00, 1847.80, 1842.80
4.0, 4, 8.0, 7,281.20, 781.00, 1558.80, 1557.80, 385.20, 458.50, 912.60, 1557.80
2.0, 5, 4.0, 5,161.20, 49419.60, 314.50, 845.20, 260.30, 21334.90, 804.50, 845.20
5.0, 4, 5.0, 4,295.10, 3915.40, 1078.50, 1116.00, 294.40, 529.30, 1061.30, 1116.00
9.0, 9, 8.0, 9,433.00, 720.40, 1440.40, 1462.10, 423.90, 702.70, 1406.70, 1462.10
4.0, 8, 6.0, 9,306.10, 5496.70, 996.60, 1121.40, 368.30, 531.60, 1062.00, 1121.40
8.0, 4, 7.0, 7,387.20, 1168.50, 2335.40, 2338.10, 375.20, 438.70, 878.20, 2338.10
6.0, 8, 8.0, 9,381.70, 676.90, 1348.50, 1361.10, 417.80, 638.30, 1275.10, 1361.10
9.0, 5, 2.0, 2,339.70, 384.80, 689.80, 1527.40, 146.20, 783.60, 1550.30, 1527.40
7.0, 8, 6.0, 3,374.60, 340.60, 679.40, 3418.40, 355.30, 1721.40, 3418.70, 3418.40
3.0, 5, 5.0, 3,214.10, 49295.50, 358.40, 1761.90, 283.90, 3616.50, 1763.50, 1761.90
4.0, 3, 3.0, 7,264.50, 1074.80, 2144.20, 2140.40, 219.90, 69652.40, 236.20, 2140.40
5.0, 5, 6.0, 6,324.90, 636.50, 1278.30, 1278.00, 352.10, 529.90, 1054.40, 1278.00
4.0, 6, 8.0, 6,288.00, 434.90, 872.40, 1376.30, 386.60, 673.40, 1344.50, 1376.30
7.0, 8, 4.0, 7,394.50, 1310.50, 1186.60, 1210.20, 298.30, 497.60, 988.80, 1210.20
2.0, 6, 5.0, 3,196.30, 145131.30, 282.10, 1583.30, 231.50, 21265.80, 1620.20, 1583.30
9.0, 6, 4.0, 8,415.30, 918.50, 1827.20, 1827.50, 294.70, 341.90, 675.60, 1827.50
7.0, 6, 7.0, 6,381.50, 664.00, 1328.30, 1365.90, 382.80, 663.10, 1329.40, 1365.90
6.0, 2, 4.0, 6,316.40, 2299.30, 4577.10, 4572.50, 258.10, 167.80, 338.20, 4572.50
4.0, 9, 3.0, 9,297.10, 3598.80, 831.30, 850.50, 244.90, 4570.00, 610.50, 850.50
9.0, 9, 4.0, 8,428.80, 662.20, 1324.60, 1324.50, 301.50, 6966.00, 960.00, 1324.50
5.0, 7, 6.0, 7,335.40, 532.60, 1063.30, 1213.00, 366.50, 605.10, 1210.80, 1213.00
7.0, 2, 4.0, 6,339.90, 2475.30, 4941.70, 4936.60, 256.00, 2101.20, 333.10, 4936.60
9.0, 8, 1.0, 7,303.00, 6388.00, 918.50, 845.70, 102.90, 155480.30, 190.20, 845.70
4.0, 6, 3.0, 6,275.70, 2665.70, 823.90, 839.90, 232.00, 2614.10, 616.00, 839.90
